Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"C1, C12, C13, C14, C18, C19, C2, C20, C26, C27, C28, C29, C3, C32, C38, C41, C46, C47, C6, C8, C9",0603,21,100nF,
"C10, C16",0603,2,22uF,
"C11, C45, C7",0603,3,4.7uF,
"C15, C21, C48, C5",0603,4,10uF,
C17,0603,1,22uF/16v,
"C22, C44, C49, C50",1210,4,22uF,
C23,0603,1,10nF,
C24,0603,1,0.1uF,
C25,0603,1,2.2uF,
"C30, C31, C34, C36",0603,4,100nF/50v,
"C33, C35, C37, C39, C4, C40",0603,6,1uF,
"C42, C43",0603,2,15pF,
"D1, D2",0603,2,led,
"D3, D4, D5, D6",D_SMA,4,SS54FSH,
D7,D_SOD-123,1,1N4148W,
D8,D_SMA,1,SS14,
D9,SOT-23,1,BZX84C10,
"FB1, FB2",L_Eaton_MCL2012V1,2,600 ohm 100mHZ,
J1,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card,
J10,PinHeader_1x05_P1.00mm_Vertical,1,Conn_01x05_Pin,
J2,PinHeader_1x04_P1.27mm_Vertical,1,RC,
J8,PinHeader_1x04_P1.27mm_Vertical,1,reciver,
J9,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
"L1, L2",0603,2,4.7uH,
LS1,Buzzer_CUI_CPT-9019S-SMT,1,CMT-7525-80-SMT-TR,
M1,PinHeader_1x02_P2.54mm_Vertical,1,M1 front left,
M2,PinHeader_1x02_P2.54mm_Vertical,1,M2 front right,
M3,PinHeader_1x02_P2.54mm_Vertical,1,M3 rear right,
M4,PinHeader_1x02_P2.54mm_Vertical,1,m4 rear left,
Q1,SOT-23,1,2N7002,
Q2,TO-252-2,1,SUD45P03-09,
"R1, R10, R33",0603,3,100k,
"R11, R13, R15, R17",0603,4,33,
"R12, R14, R16, R18, R19, R20, R21, R22, R25, R26, R35, R36, R6, R9",0603,14,10k,
R2,0603,1,31.6k,
"R23, R24",0603,2,5.1k,
R27,0603,1,100,
"R28, R29, R30, R31, R32",0603,5,47k,
"R3, R4",0603,2,1k,
R34,0603,1,33k,
R37,0603,1,18 ohm,
"R38, R39",0603,2,20 ohm,
R5,0603,1,22k,
R7,0603,1,0 ohm,
R8,0603,1,52.3k,
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_SPST,
"U1, U3",SOT-23-8,2,MP2315GJ,MP2315
"U10, U12, U8",DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm,3,AON7410,
"U11, U5, U7, U9",SOT-23-6,4,UCC27511ADBV,
U13,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U14,LQFP-100_14x14mm_P0.5mm,1,STM32H753VITx,
U15,SOT-23-6,1,USBLC6-2SC6,
U4,LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y,1,ICM-42688-P,
U6,DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm,1,ul_AON7410,
"VCAP1, VCAP2",0201,2,2.2uF,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,8HMz,
