Designator,Mid X,Mid Y,Rotation,Layer
BAT1,143.73,-111.8,270.0,top
C1,163.4,-79.8,0.0,top
C10,153.2,-85.075,90.0,top
C11,154.8,-85.075,90.0,top
C12,156.5,-99.5,0.0,top
C13,138.45,-107.35,90.0,bottom
C14,153.4,-96.625,90.0,top
C15,142.95,-97.15,0.0,bottom
C16,151.7,-97.025,90.0,top
C17,151.7,-100.225,270.0,top
C18,145.85,-99.75,0.0,bottom
C19,142.875,-98.8,180.0,top
C2,163.4,-78.2,0.0,top
C20,170.3,-101.675,270.0,top
C21,172.2,-101.7,90.0,top
C22,140.05,-111.3,90.0,bottom
C23,164.3,-103.7,0.0,top
C24,164.3,-105.4,0.0,top
C25,166.8,-104.1,90.0,top
C26,154.9,-111.225,90.0,top
C27,144.1,-86.1,0.0,top
C28,157.4,-76.7,0.0,top
C29,140.225,-108.3,0.0,top
C3,161.0,-78.875,90.0,top
C30,169.4,-108.375,270.0,top
C31,140.8,-92.2,0.0,top
C32,168.7,-101.875,90.0,top
C33,140.8,-93.8,0.0,top
C34,151.2,-78.7,0.0,top
C35,151.2,-77.1,0.0,top
C36,135.425,-101.5,0.0,top
C37,135.425,-103.1,0.0,top
C38,157.3,-92.2,180.0,top
C39,169.45,-111.475,270.0,top
C4,161.9,-104.525,270.0,top
C40,157.325,-93.8,180.0,top
C41,157.3,-90.6,0.0,top
C42,158.5,-82.0,0.0,top
C43,155.4,-82.0,0.0,top
C44,138.75,-100.05,90.0,bottom
C45,135.125,-93.0,180.0,top
C46,138.0,-93.675,90.0,top
C47,179.7,-101.825,90.0,bottom
C48,178.0,-98.425,270.0,bottom
C49,143.9,-76.6,0.0,bottom
C5,161.9,-107.575,90.0,top
C50,156.05,-78.4,0.0,bottom
C6,163.475,-76.7,0.0,top
C7,165.9,-78.9,90.0,top
C8,146.8,-86.0,90.0,top
C9,150.0,-85.925,90.0,top
D1,157.3,-87.3,180.0,top
D2,179.0,-88.7875,270.0,top
D3,157.5,-107.7,0.0,top
D4,145.6,-82.4,0.0,top
D5,156.4,-79.3,0.0,top
D6,146.4,-105.1,90.0,top
D7,178.1,-105.4,180.0,top
D8,137.3,-92.0,0.0,bottom
D9,135.4,-106.95,0.0,bottom
FB1,164.4,-107.4,180.0,top
FB2,154.6,-91.5,270.0,top
J1,167.92,-107.25,180.0,bottom
J10,171.7,-73.5,270.0,top
J2,150.395,-112.1,90.0,top
J8,165.065,-73.8,90.0,top
J9,136.4,-83.4,270.0,top
L1,145.4,-93.2,90.0,top
L2,151.7,-89.875,90.0,top
LS1,154.9,-105.5,0.0,bottom
M1,158.83,-111.7,90.0,top
M2,135.2,-97.47,0.0,top
M3,142.095,-74.1,90.0,top
M4,158.57,-74.2,90.0,top
Q1,178.2,-102.1,180.0,top
Q2,177.4225,-88.69,270.0,bottom
R1,148.4,-85.975,90.0,top
R10,147.575,-93.3,90.0,top
R11,177.4,-107.5,180.0,top
R12,167.7,-110.6,270.0,top
R13,143.2,-92.625,90.0,top
R14,140.9,-90.5,180.0,top
R15,147.2,-77.675,90.0,top
R16,148.8,-77.725,270.0,top
R17,134.6,-105.575,90.0,top
R18,136.2375,-105.575,270.0,top
R19,167.0,-107.225,90.0,top
R2,151.6,-85.9,270.0,top
R20,166.8,-100.775,90.0,top
R21,157.3,-89.0,0.0,top
R22,166.775,-76.5,0.0,top
R23,139.875,-77.4,0.0,top
R24,151.025,-81.0,180.0,top
R25,150.875,-83.6,180.0,top
R26,179.7,-95.375,90.0,top
R27,179.8,-98.625,90.0,top
R28,178.1,-104.525,90.0,bottom
R29,176.3,-104.375,270.0,bottom
R3,154.8,-88.2,90.0,top
R30,176.3,-101.275,270.0,bottom
R31,179.8,-98.4,90.0,bottom
R32,176.9,-106.8,0.0,bottom
R33,153.25,-88.375,90.0,top
R34,150.9,-93.4,90.0,top
R35,178.25,-80.5,90.0,bottom
R36,179.7,-95.4,90.0,bottom
R37,154.7,-99.95,180.0,bottom
R38,148.4,-85.975,270.0,bottom
R39,149.0,-99.75,180.0,bottom
R4,179.0,-92.0,90.0,top
R5,156.5,-96.3,180.0,top
R6,156.5,-97.9,180.0,top
R7,179.85,-80.5,270.0,bottom
R8,149.3,-93.325,90.0,top
R9,148.325,-100.0,0.0,top
SW1,170.0,-78.1,180.0,top
SW2,173.6,-78.1,180.0,top
U1,148.4,-89.8,180.0,top
U10,153.175,-74.26,270.0,top
U11,141.3,-105.6,180.0,top
U12,141.1,-101.9,270.0,top
U13,171.1,-105.075,0.0,top
U14,168.8,-90.075,270.0,top
U15,135.8375,-90.35,180.0,top
U3,148.2375,-96.975,180.0,top
U4,159.55,-100.8625,0.0,top
U5,172.6625,-111.65,180.0,top
U6,164.175,-111.16,90.0,top
U7,139.4,-97.5,270.0,top
U8,144.225,-78.44,270.0,top
U9,148.9375,-74.15,180.0,top
VCAP1,173.5,-100.3,90.0,top
VCAP2,179.0,-86.3325,270.0,top
Y2,157.8,-84.65,0.0,top
